listing_id,seller_id,category_id,title,price,listing_date,status
1,34,4,Sunglasses,13.54,2024-06-15,active
2,33,4,Watch,59.74,2024-10-24,active
3,97,4,Scarf,13.24,2024-09-29,sold
4,58,3,Crossbody bag,133.96,2024-07-07,sold
5,53,6,Data science book,92.46,2024-02-03,sold
6,25,5,Phone case,121.44,2024-10-27,active
7,51,4,Watch,133.3,2024-05-09,active
8,46,2,Sport shoes,103.62,2024-09-18,sold
9,95,4,Scarf,121.15,2024-08-09,sold
10,7,3,Small backpack,10.72,2024-12-07,sold
11,86,3,Leather bag,125.11,2024-03-04,active
12,81,2,Leather boots,114.08,2024-01-03,active
13,12,3,Crossbody bag,19.2,2024-08-30,active
14,97,4,Gold earrings,69.08,2024-07-06,sold
15,40,6,Novel book,59.95,2024-05-11,sold
16,59,4,Gold earrings,76.96,2024-07-01,sold
17,7,1,Vintage shirt,130.64,2024-06-26,sold
18,77,5,Smartwatch,92.61,2024-04-26,active
19,90,6,Novel book,135.52,2024-11-26,sold
20,2,4,Watch,6.89,2024-06-12,sold
21,85,4,Sunglasses,34.8,2024-03-03,active
22,27,4,Silver necklace,147.8,2024-03-21,active
23,19,6,Business book,40.08,2024-03-17,sold
24,90,3,Tote bag,39.89,2024-04-14,sold
25,30,3,Leather bag,95.71,2024-05-14,sold
26,29,3,Leather bag,99.5,2024-12-22,sold
27,23,4,Gold earrings,24.28,2024-06-11,active
28,62,6,Novel book,114.06,2024-01-09,active
29,22,5,Smartwatch,107.86,2024-07-07,active
30,39,3,Crossbody bag,54.14,2024-01-01,sold
31,90,4,Sunglasses,70.57,2024-05-14,sold
32,93,1,Black dress,81.48,2024-02-18,sold
33,7,6,English grammar book,74.44,2024-02-20,sold
34,99,5,Tablet cover,43.14,2024-09-21,sold
35,25,6,Business book,19.31,2024-08-02,sold
36,32,2,Sandals,104.78,2024-11-18,sold
37,89,2,Sandals,18.46,2024-06-28,active
38,76,4,Silver necklace,65.64,2024-12-08,sold
39,45,6,Data science book,36.92,2024-11-03,sold
40,18,6,Business book,28.04,2024-07-21,active
41,4,2,Sport shoes,90.63,2024-11-21,active
42,17,5,Bluetooth speaker,60.68,2024-07-29,sold
43,90,2,Running shoes,70.59,2024-12-27,active
44,28,5,Bluetooth speaker,39.52,2024-09-07,sold
45,14,3,Leather bag,51.8,2024-04-03,sold
46,55,4,Gold earrings,65.9,2024-12-19,sold
47,45,2,Leather boots,131.98,2024-02-26,sold
48,89,6,Data science book,90.38,2024-04-02,sold
49,71,2,Sandals,108.34,2024-12-17,sold
50,39,4,Watch,55.56,2024-04-03,active
51,35,2,Leather boots,72.34,2024-11-30,sold
52,77,2,Leather boots,13.06,2024-03-27,active
53,49,6,Business book,84.52,2024-08-30,active
54,8,4,Silver necklace,56.99,2024-08-11,active
55,35,4,Watch,33.16,2024-05-31,sold
56,95,2,Sport shoes,84.61,2024-10-05,sold
57,57,3,Small backpack,40.95,2024-05-19,sold
58,94,4,Sunglasses,142.72,2024-12-08,sold
59,100,6,Travel guide,116.47,2024-06-29,sold
60,14,2,White sneakers,107.35,2024-06-04,sold
61,38,6,Travel guide,97.65,2024-05-14,active
62,22,1,Vintage shirt,141.34,2024-04-01,sold
63,5,4,Watch,29.68,2024-09-08,sold
64,61,4,Sunglasses,59.72,2024-12-20,sold
65,11,3,Travel bag,103.43,2024-07-30,sold
66,12,6,Travel guide,100.41,2024-06-07,active
67,78,2,White sneakers,110.01,2024-02-05,sold
68,98,3,Travel bag,121.56,2024-09-27,sold
69,62,6,Business book,39.89,2024-01-30,sold
