transaction_id,listing_id,buyer_id,transaction_date,final_price
1,3,15,2024-10-07,10.82
2,4,39,2024-07-18,130.97
3,5,64,2024-03-01,84.08
4,8,69,2024-09-26,87.08
5,9,3,2024-08-25,99.16
6,10,29,2025-01-06,9.28
7,14,52,2024-07-10,60.44
8,15,51,2024-05-19,52.86
9,16,90,2024-07-10,74.09
10,17,76,2024-07-11,108.88
11,19,23,2024-12-17,132.87
12,20,83,2024-07-10,6.73
13,23,88,2024-03-28,35.54
14,24,31,2024-05-14,36.54
15,25,41,2024-06-07,76.93
16,26,41,2025-01-13,94.53
17,30,86,2024-01-25,45.97
18,31,93,2024-05-23,61.38
19,32,3,2024-03-04,75.97
20,33,42,2024-03-21,70.01
21,34,83,2024-10-13,39.29
22,35,98,2024-08-20,16.43
23,36,17,2024-12-01,95.32
24,38,98,2024-12-29,57.78
25,39,34,2024-11-26,29.92
26,42,75,2024-08-04,55.85
27,44,81,2024-09-18,35.37
28,45,61,2024-04-19,50.93
29,46,65,2025-01-10,53.8
30,47,14,2024-02-29,123.13
31,48,21,2024-04-29,74.21
32,49,6,2025-01-06,93.31
33,51,55,2024-12-27,66.46
34,55,76,2024-06-19,27.12
35,56,22,2024-10-15,77.99
36,57,94,2024-06-15,36.04
37,58,82,2024-12-11,132.06
38,59,1,2024-07-01,106.81
39,60,53,2024-07-01,104.28
40,62,58,2024-04-19,132.44
41,63,79,2024-09-14,24.46
42,64,32,2024-12-21,56.88
43,65,17,2024-08-08,86.45
44,67,21,2024-02-08,102.77
45,68,93,2024-10-09,100.56
46,69,25,2024-02-20,32.56
47,70,24,2024-10-26,130.57
48,72,30,2024-10-16,49.23
49,75,54,2024-02-19,104.31
50,76,6,2024-07-23,119.77
51,78,75,2024-03-04,118.21
52,79,37,2024-08-13,84.08
53,81,54,2024-03-11,113.52
54,82,95,2024-04-10,18.36
55,83,67,2024-10-20,17.21
56,84,54,2024-11-19,29.07
57,86,7,2024-04-03,66.12
58,87,70,2024-07-19,27.1
59,88,3,2024-06-01,33.34
60,91,35,2024-03-13,109.91
61,93,20,2025-01-12,65.84
62,95,16,2024-02-04,22.0
63,98,19,2024-03-08,123.52
64,99,65,2024-01-16,36.1
65,100,82,2024-10-09,94.05
66,102,86,2024-11-12,79.27
67,103,33,2024-09-14,93.71
68,106,59,2024-04-16,106.26
69,107,73,2024-03-31,13.81
70,109,49,2024-11-04,74.21
71,110,27,2024-09-24,23.97
72,116,99,2024-11-15,48.29
73,117,11,2024-04-14,83.21
74,118,7,2024-08-28,22.55
75,122,42,2024-10-03,121.96
76,123,47,2024-11-01,33.86
77,124,97,2024-05-04,25.83
78,125,64,2024-08-04,82.94
79,127,34,2024-10-15,20.85
80,129,31,2024-02-12,82.24
81,130,16,2024-05-24,9.6
82,133,11,2024-08-09,63.45
83,137,43,2024-12-31,65.33
84,140,20,2024-11-04,27.61
85,143,41,2024-11-30,54.91
86,144,60,2024-10-11,49.21
87,146,48,2024-01-26,95.43
88,147,95,2024-10-22,18.73
89,152,84,2024-12-24,125.32
90,153,37,2024-03-03,29.81
91,154,30,2024-12-09,101.22
92,156,69,2024-10-22,81.82
93,157,23,2024-01-26,20.21
94,158,45,2024-10-02,110.96
95,163,62,2024-08-07,139.33
96,165,21,2024-08-21,124.76
97,166,49,2024-12-30,10.3
98,167,10,2024-08-07,107.56
99,168,38,2024-12-15,39.7
100,169,17,2024-07-23,137.94
101,170,9,2024-09-27,10.35
102,171,2,2024-02-07,45.24
103,172,15,2024-08-29,23.73
104,174,37,2024-09-23,78.93
105,176,43,2024-11-14,33.33
106,177,85,2024-06-13,34.35
107,178,25,2024-12-03,10.83
